# THE LONG NIGHT — juice
# Owner: Jane. Machine-readable. John: parse this, don't hardcode the feel.
# Tab-separated. '#' comments and blank lines ignored. Row kinds: param, shake, glyph.
#
# See design.md §14. This table exists because "juice" is the last system where a
# programmer is expected to pick numbers by taste, and the numbers ARE the taste.
#
# ---- THE OWNER'S ACTUAL COMPLAINT --------------------------------------------
# "Singular characters walking around... is this the 1960s? ASCII art can be made
# much more impressive nowadays." He is not asking for more glyphs. He is asking
# for the glyphs to be ALIVE. A `g` that flinches when you hit it and pops when it
# dies is more impressive than a `g` drawn in three colours, and it costs no art.
#
# ---- EVERY NUMBER HERE IS IN SECONDS, NEVER IN FRAMES ------------------------
# He also asked for 120fps. A flash written as "2 frames" is twice as fast at 120
# as at 60, and that is why old ports feel wrong on new hardware. Nothing in this
# table is a frame count. If you find yourself writing `--framesLeft`, stop.
#
# ---- THE JUICE LAW -----------------------------------------------------------
# Juice is the FOURTH thing on the screen. The first three -- you, the XP, the
# thing about to touch you -- already have a law (§9, the luminance ladder), and
# juice does not get to break it just because it is pretty:
#
#   Juice may never take a cell that would otherwise show the player, an XP mote,
#   or an enemy; and it may never be brighter than the thing it is celebrating.
#
# The one licensed exception is `hit_flash_lift`, below, and it is bounded to 60ms.
#
#
# ---- param rows: param <name> <value> ----------------------------------------

# 1. HIT FLASH. The most important 60 milliseconds in the game. An enemy that
#    takes damage lifts toward white for `hit_flash` seconds. The GLYPHS DO NOT
#    CHANGE and the sprite DOES NOT MOVE -- a flash that changes shape reads as a
#    different enemy arriving, not as the one you have as being hurt.
#    This is the ladder's only licensed violation: an enemy may pass the mote's
#    0.74 luminance for 60ms. Sixty milliseconds cannot be hunted through; a
#    permanent brightness can.
param	hit_flash	0.06	seconds an enemy stays lifted after taking damage
param	hit_flash_lift	0.55	fraction lifted toward white. 1.0 would erase the silhouette

# 2. DEATH POP. One frame of the enemy's own glyphs in bright white, then the
#    gore decal takes the cell. Costs no art and it is the single frame that
#    sells a kill. At 40 kills/sec these overlap constantly and that is the point:
#    the field crackles.
param	death_flash	0.05	seconds

# 3. DAMAGE NUMBERS. See design.md §14 for why there is AT MOST ONE PER ENEMY.
#    Short version: I already made this mistake with gore. One decal per kill
#    stacked two hundred decals on a busy cell and the floor turned into a red
#    sheet; the owner reported it. One number per damage EVENT is the same bug
#    with digits. At 14:00 that is ~200 enemies x 4 weapons x their cooldowns.
#
#    So: a number is born on an enemy's first damage and rises. Damage taken
#    while it is alive is ADDED to it, its life resets, and it gets brighter.
#    Two hundred rats give you two hundred numbers. A rat hit eleven times gives
#    you ONE number that climbs to 34 and glows.
#
#    Brightness-by-accumulation is also why this game does not need a crit system
#    to have a crit FEEL. It doesn't have one. Don't build one.
param	num_life	0.55	seconds a number lives if it takes no further damage
param	num_rise	3	world units it rises over its life (~1.5 rows; a cell is 2 wu tall)
param	num_lift_per_hit	0.12	brightness added each time damage is added to a live number
param	num_lift_max	0.60	cap. a number may never out-shine the player
param	num_max	40	most numbers alive at once. over budget, drop the DIMMEST, not the oldest
param	num_min	1	damage below this prints nothing. a `0` floating up is a bug report

# 4. HIT STOP. The simulation freezes; rendering does not. Fires ONLY when the
#    PLAYER takes damage. Not on enemy hits -- at 40 kills/sec the game would
#    judder permanently and you would never find out why it felt bad.
param	hitstop	0.05	seconds of frozen simulation when the player is hit
param	levelup_hitstop	0.08	and when you level up. the pause IS the reward

